tag,level,family,coverage,avg_set_size,multi_label_rate,empty_rate,non_singleton_rate,verdict_outside_set_rate,operational_abstain_rate,n,rep,aggregation,alpha
rule_alpha0.1,fine,nominal,0.9,1.4,0.4,0.0,0.4,0.0,0.4,20,4,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.95,0.85,0.0,0.85,0.0,0.85,20,4,rule,0.1
rule_alpha0.1,fine,gps_degrade,1.0,1.7,0.55,0.0,0.55,0.0,0.55,20,4,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.8,1.4,0.4,0.0,0.4,0.05,0.4,20,4,rule,0.1
rule_alpha0.1,coarse,nominal,0.9,1.3,0.3,0.0,0.3,0.0,0.3,20,4,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.75,1.225,0.225,0.0,0.225,0.0,0.225,40,4,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,0.8,1.4,0.4,0.0,0.4,0.05,0.4,20,4,rule,0.1
rule_alpha0.2,fine,nominal,0.7,1.0,0.0,0.0,0.0,0.0,0.0,20,4,rule,0.2
rule_alpha0.2,fine,spoof,0.8,1.05,0.05,0.0,0.05,0.0,0.05,20,4,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.55,1.1,0.1,0.0,0.1,0.0,0.1,20,4,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.7,1.1,0.1,0.0,0.1,0.1,0.2,20,4,rule,0.2
rule_alpha0.2,coarse,nominal,0.7,1.0,0.0,0.0,0.0,0.0,0.0,20,4,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.725,1.05,0.05,0.0,0.05,0.025,0.075,40,4,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.7,1.1,0.1,0.0,0.1,0.1,0.2,20,4,rule,0.2
stacked_alpha0.1,fine,nominal,1.0,1.35,0.35,0.0,0.35,0.0,0.35,20,4,stacked,0.1
stacked_alpha0.1,fine,spoof,1.0,1.6,0.6,0.0,0.6,0.0,0.6,20,4,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.75,0.8,0.0,0.2,0.2,0.25,0.25,20,4,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,0.85,1.25,0.25,0.0,0.25,0.1,0.35,20,4,stacked,0.1
stacked_alpha0.1,coarse,nominal,1.0,1.1,0.1,0.0,0.1,0.0,0.1,20,4,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.925,1.25,0.25,0.0,0.25,0.0,0.25,40,4,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,0.85,1.25,0.25,0.0,0.25,0.1,0.35,20,4,stacked,0.1
stacked_alpha0.2,fine,nominal,0.8,0.9,0.0,0.1,0.1,0.1,0.1,20,4,stacked,0.2
stacked_alpha0.2,fine,spoof,0.85,0.9,0.0,0.1,0.1,0.1,0.1,20,4,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.7,0.7,0.0,0.3,0.3,0.3,0.3,20,4,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,0.7,0.7,0.0,0.3,0.3,0.3,0.3,20,4,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.8,0.8,0.0,0.2,0.2,0.2,0.2,20,4,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.8,0.825,0.0,0.175,0.175,0.175,0.175,40,4,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.7,0.7,0.0,0.3,0.3,0.3,0.3,20,4,stacked,0.2
