held_out_family,held_out_subtype,seed,score,n_train,n_calib,n_agg_features,best_feature,best_feature_auroc,best_feature_null_q95,best_feature_perm_p,auroc,auroc_lo,auroc_hi,mw_p,n_pos,n_neg,tpr_at_fpr,threshold_at_fpr,realised_fpr,threshold_q95,withheld_unseen_q95,withheld_seen_q95
gps_degrade,stuck_then_ok,0,mahalanobis_pca10,80,80,32,max_spoof,1.0,0.7349431818181816,0.004975124378109453,0.9967532467532467,0.9814723578360484,1.0,2.3621503302350212e-09,28,22,0.9642857142857143,26.31757107739121,0.045454545454545456,28.31713269306938,0.9642857142857143,0.045454545454545456
gps_degrade,stuck_then_ok,1,mahalanobis,80,80,32,max_spoof,1.0,0.7354707792207792,0.004975124378109453,0.974025974025974,0.9304323466639212,1.0,1.2186343768450395e-08,28,22,0.9285714285714286,66.46615282636076,0.045454545454545456,67.01185669929212,0.9285714285714286,0.0
gps_degrade,stuck_then_ok,1,iforest,80,80,32,max_spoof,1.0,0.7354707792207792,0.004975124378109453,0.9415584415584416,0.8756088866715329,1.0,1.1192366148206763e-07,28,22,0.7857142857142857,0.5668097378058002,0.045454545454545456,0.5419083639072976,0.9285714285714286,0.3181818181818182
gps_degrade,stuck_then_ok,1,one_minus_conf,80,0,32,max_spoof,1.0,0.7354707792207792,0.004975124378109453,0.008116883116883116,0.0,0.0352043392000921,3.3780724269993874e-09,28,22,0.0,0.17182844444109047,0.045454545454545456,,,
gps_degrade,stuck_then_ok,1,mahalanobis_pca10,80,80,32,max_spoof,1.0,0.7354707792207792,0.004975124378109453,0.9675324675324676,0.9186938106206817,1.0,1.9215222113428946e-08,28,22,0.8928571428571429,31.865373588092268,0.045454545454545456,26.422304499630286,0.9285714285714286,0.09090909090909091
gps_degrade,stuck_then_ok,2,mahalanobis,80,80,32,max_spoof,1.0,0.7279220779220777,0.004975124378109453,0.9951298701298701,0.9764017286494101,1.0,2.6622970957372336e-09,28,22,0.9642857142857143,48.267280101039674,0.045454545454545456,93.88521540562661,0.9285714285714286,0.0
gps_degrade,stuck_then_ok,2,iforest,80,80,32,max_spoof,1.0,0.7279220779220777,0.004975124378109453,0.9366883116883117,0.8679819237712953,1.0,1.5410608639029985e-07,28,22,0.9285714285714286,0.5186707297719501,0.045454545454545456,0.5427404197737327,0.6428571428571429,0.045454545454545456
gps_degrade,stuck_then_ok,2,one_minus_conf,80,0,32,max_spoof,1.0,0.7279220779220777,0.004975124378109453,0.09740259740259741,0.004706158721317424,0.1900990360838774,1.3094053724170347e-06,28,22,0.03571428571428571,0.2605603172775972,0.045454545454545456,,,
gps_degrade,stuck_then_ok,2,mahalanobis_pca10,80,80,32,max_spoof,1.0,0.7279220779220777,0.004975124378109453,1.0,1.0,1.0,1.857479016031198e-09,28,22,1.0,16.304674840813405,0.045454545454545456,38.05873772096952,0.9642857142857143,0.0
sensor_fault,baro_stuck,0,mahalanobis,70,70,32,frac_sensor_fault,1.0,0.7901253918495298,0.004975124378109453,1.0,1.0,1.0,1.4635067925027313e-06,29,11,1.0,95.71048406647628,0.0,63.59511029798663,1.0,0.09090909090909091
